日期,推广计划名称,宝贝名称,关键词,流量来源,搜索类型,展现量,点击量,花费(分),点击率,平均展现排名,平均点击花费(分),千次展现花费(分),点击转化率,直接成交金额(分),直接成交笔数,间接成交金额(分),间接成交笔数,总成交金额(分),总成交笔数,宝贝收藏数,店铺收藏数,总收藏数,投入产出比,直接购物车数,间接购物车数,总购物车数
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,进口吸尘器,移动站内,搜索,27,3,1490,11.11,2,496.67,55185.19,0.00,0,0,0,0,0,0,0,0,0,0.00,1,0,1
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,手提吸尘器,计算机站内,搜索,2,0,0,0.00,9,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,手持式吸尘器,计算机站内,搜索,119,0,0,0.00,7,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,手持式吸尘器,移动站内,搜索,29,2,1287,6.90,3,643.50,44379.31,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,手持吸尘器,计算机站内,搜索,1,0,0,0.00,28,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC转化计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,dyson吸尘器家用,计算机站内,搜索,5,1,631,20.00,1,631.00,126200.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC转化计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,dyson吸尘器家用,移动站内,搜索,43,10,7587,23.26,2,758.70,176441.86,0.00,0,0,0,0,0,0,3,0,3,0.00,1,0,1
2017-03-05,喜宝FC转化计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,dyson v6,计算机站内,搜索,28,0,0,0.00,2,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC转化计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,dyson v6,移动站内,搜索,102,2,1153,1.96,2,576.50,11303.92,0.00,0,0,0,0,0,0,0,0,0,0.00,1,0,1
2017-03-05,喜宝FC转化计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,dyson 代购,计算机站内,搜索,1,0,0,0.00,1,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC转化计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,dyson 代购,移动站内,搜索,10,1,899,10.00,2,899.00,89900.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC转化计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,dyson无线吸尘器,计算机站内,搜索,6,0,0,0.00,2,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC转化计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,dyson无线吸尘器,移动站内,搜索,16,2,1098,12.50,1,549.00,68625.00,0.00,0,0,0,0,0,0,0,0,0,0.00,1,0,1
2017-03-05,喜宝FC转化计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,dyson 吸尘器,计算机站内,搜索,150,5,1410,3.33,1,282.00,9400.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC转化计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,dyson 吸尘器,移动站内,搜索,115,2,568,1.74,2,284.00,4939.13,,,,,,,,,,,,,,
2017-03-05,喜宝FC转化计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,dyson手持吸尘器,计算机站内,搜索,5,0,0,0.00,2,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC转化计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,dyson手持吸尘器,移动站内,搜索,11,0,0,0.00,2,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC转化计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,dyson 英国代购,移动站内,搜索,1,0,0,0.00,1,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC转化计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,戴森吸尘器 德国,移动站内,搜索,16,2,587,12.50,2,293.50,36687.50,,,,,,,,,,,,,,
2017-03-05,喜宝FC转化计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,戴森 美国代购,计算机站内,搜索,1,0,0,0.00,2,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC转化计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,戴森无绳吸尘器,计算机站内,搜索,2,0,0,0.00,3,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC转化计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,戴森无绳吸尘器,移动站内,搜索,2,0,0,0.00,2,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC转化计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,戴森dyson v6,计算机站内,搜索,2,1,743,50.00,1,743.00,371500.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC转化计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,戴森dyson v6,移动站内,搜索,1,0,0,0.00,3,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,无线吸尘器家用 手持式,计算机站内,搜索,25,0,0,0.00,12,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Mattress手持式吸尘器 除螨仪 家用,除螨吸尘器家用,计算机站内,搜索,3,0,0,0.00,8,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Mattress手持式吸尘器 除螨仪 家用,除螨吸尘器家用,移动站内,搜索,1,0,0,0.00,31,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Mattress手持式吸尘器 除螨仪 家用,除螨吸尘器,计算机站内,搜索,90,2,1114,2.22,1,557.00,12377.78,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Mattress手持式吸尘器 除螨仪 家用,除螨吸尘器,移动站内,搜索,17,0,0,0.00,6,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Mattress手持式吸尘器 除螨仪 家用,尘螨吸尘器,计算机站内,搜索,3,0,0,0.00,3,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Mattress手持式吸尘器 除螨仪 家用,尘螨吸尘器,移动站内,搜索,7,0,0,0.00,4,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Mattress手持式吸尘器 除螨仪 家用,吸尘器家用 手持式 床上,计算机站内,搜索,1,0,0,0.00,2,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Mattress手持式吸尘器 除螨仪 家用,螨虫吸尘器,计算机站内,搜索,14,0,0,0.00,4,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Mattress手持式吸尘器 除螨仪 家用,螨虫吸尘器,移动站内,搜索,151,4,1826,2.65,3,456.50,12092.72,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Mattress手持式吸尘器 除螨仪 家用,床上吸尘器,计算机站内,搜索,9,0,0,0.00,5,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Mattress手持式吸尘器 除螨仪 家用,床上吸尘器,移动站内,搜索,38,0,0,0.00,4,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Mattress手持式吸尘器 除螨仪 家用,床上除螨仪,计算机站内,搜索,5,0,0,0.00,6,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Mattress手持式吸尘器 除螨仪 家用,床上除螨仪,移动站内,搜索,5,0,0,0.00,6,,0.00,,,,,,,,,,,,,,
